img,caption
Dataset/SSID_Images//1.jpg,a group of people walking up a snowy slope
Dataset/SSID_Images//2.jpg,a person on a snowboard on a mountain
Dataset/SSID_Images//3.jpg,a man climbing up a snowy mountain
Dataset/SSID_Images//4.jpg,a man standing on top of a mountain
Dataset/SSID_Images//5.jpg,a man sitting on top of a snowy mountain
Dataset/SSID_Images//6.jpg,a man climbing up a mountain with a helmet on
Dataset/SSID_Images//7.jpg,a field with a fence and mountains in the background
Dataset/SSID_Images//8.jpg,a man with a backpack on a trail
Dataset/SSID_Images//9.jpg,the summit of the mountain is covered in snow
Dataset/SSID_Images//10.jpg,a man wearing a blue shirt
Dataset/SSID_Images//11.jpg,a woman is holding a surfboard in her hand
Dataset/SSID_Images//12.jpg,a group of people walking on a trail
Dataset/SSID_Images//13.jpg,a man standing on top of a mountain
Dataset/SSID_Images//14.jpg,a man standing on top of a mountain
Dataset/SSID_Images//15.jpg,a man is skiing down a snowy mountain
Dataset/SSID_Images//16.jpg,a person skiing down a snowy mountain
Dataset/SSID_Images//17.jpg,the summit of the mountain is covered in snow
Dataset/SSID_Images//18.jpg,a person skiing down a snowy mountain
Dataset/SSID_Images//19.jpg,two people walking up a snowy mountain
Dataset/SSID_Images//20.jpg,a man with a rifle standing on top of a mountain
Dataset/SSID_Images//21.jpg,a group of people climbing up a mountain
Dataset/SSID_Images//22.jpg,a person on skis is taking a picture
Dataset/SSID_Images//23.jpg,a group of people walking up a snowy mountain
Dataset/SSID_Images//24.jpg,"the cover art for the album,'the mountain '"
Dataset/SSID_Images//25.jpg,a man climbing on a mountain with a rope
Dataset/SSID_Images//26.jpg,a man sitting on a bench
Dataset/SSID_Images//27.jpg,a woman taking a picture of a field
Dataset/SSID_Images//28.jpg,a woman sitting at a table with a white board
Dataset/SSID_Images//29.jpg,a woman is standing in front of a painting
Dataset/SSID_Images//30.jpg,a desk with a computer and a book on it
Dataset/SSID_Images//31.jpg,a room with a lot of clutter
Dataset/SSID_Images//32.jpg,a man running down a hill with trees in the background
Dataset/SSID_Images//33.jpg,a person walking up a mountain with a backpack
Dataset/SSID_Images//34.jpg,a man is running on a rocky mountain
Dataset/SSID_Images//35.jpg,a man climbing up a steep on a mountain
Dataset/SSID_Images//36.jpg,two men sitting on a rock
Dataset/SSID_Images//37.jpg,a view of the mountains from a cliff
Dataset/SSID_Images//38.jpg,a man climbing on a cliff with a mountain in the background
